  ccd_temp    box_sz    maxmag
   -1.7561  240.0000   10.4000
   -0.7537  180.0000   10.4000
   -0.3973  160.0000   10.4000
         0  148.5714   10.4000
   -4.9823  240.0000   10.6000
   -4.1373  180.0000   10.6000
   -4.0000  175.3459   10.6000
   -3.3441  160.0000   10.6000
   -2.7287  140.0000   10.6000
   -2.1909  120.0000   10.6000
   -2.0000  116.6316   10.6000
   -0.9300  100.0000   10.6000
         0   85.0182   10.6000
   -6.5818  240.0000   10.8000
   -6.0000  210.3371   10.8000
   -5.1667  180.0000   10.8000
   -4.7733  160.0000   10.8000
   -4.0441  140.0000   10.8000
   -4.0000  138.7429   10.8000
   -3.2019  120.0000   10.8000
   -2.5486  100.0000   10.8000
   -2.0000   91.8023   10.8000
   -1.0049   80.0000   10.8000
         0   67.6133   10.8000
   -8.7724  240.0000   11.0000
   -8.0000  191.3043   11.0000
   -7.6579  180.0000   11.0000
   -6.9686  160.0000   11.0000
   -6.4269  140.0000   11.0000
   -6.0000  126.7485   11.0000
   -5.6417  120.0000   11.0000
   -4.5411  100.0000   11.0000
   -4.0000   91.7343   11.0000
   -3.1846   80.0000   11.0000
   -2.0000   64.8026   11.0000
   -1.4672   60.0000   11.0000
  -10.0000  202.7329   11.2000
   -9.3476  180.0000   11.2000
   -8.9102  160.0000   11.2000
   -8.2802  140.0000   11.2000
   -8.0000  132.3560   11.2000
   -7.3444  120.0000   11.2000
   -6.5428  100.0000   11.2000
   -6.0000   90.7801   11.2000
   -5.1339   80.0000   11.2000
   -4.0000   67.6012   11.2000
   -3.1729   60.0000   11.2000
